journal,random_state,n_neighbors,nr_topics,topics_count,outliers_count,silhouette_score
nature,415319416,10,auto,984,43441,0.22012605
nature,778336475,10,auto,33,42715,-0.5628448
nature,871358440,10,auto,1057,43006,0.3246861
nature,289843286,10,auto,60,43043,-0.6706186
nature,1080126904,10,auto,34,43044,-0.64539266
nature,1958265131,10,auto,130,41744,-0.71259797
nature,1590716001,10,auto,922,42017,0.16307758
nature,1002927151,10,auto,992,43078,0.24558803
nature,23333778,10,auto,949,42404,0.17812313
nature,693794476,10,auto,89,41369,-0.6855356
nature,1686500463,10,auto,79,43096,-0.685263
nature,865361282,10,auto,1011,42545,0.24097323
nature,1760395907,10,auto,938,42173,0.14082853
nature,1191973748,10,auto,120,41171,-0.7015824
nature,1669121006,10,auto,8,42046,-0.26881248
nature,866294658,10,auto,931,42889,0.20836687
nature,1537528025,10,auto,1013,42241,0.26744774
nature,1558396996,10,auto,77,42484,-0.6682445
nature,1832937541,10,auto,139,42920,-0.6843522
nature,1553331963,10,auto,954,42720,0.24106129
nature,626540508,10,auto,240,42769,-0.65554875
nature,252605831,10,auto,99,42601,-0.7072495
nature,1871561767,10,auto,950,42108,0.18521409
nature,1171084747,10,auto,961,41573,0.2217702
nature,1874760770,10,auto,114,42276,-0.6918217
nature,1154122082,10,auto,203,42383,-0.6843246
nature,2136131430,10,auto,138,42007,-0.6934754
nature,965364732,10,auto,65,43265,-0.6899606
nature,1757025162,10,auto,1017,42290,0.28087667
nature,1727042082,10,auto,110,42860,-0.69141275
nature,175325077,10,auto,237,42256,-0.66144663
nature,1339979806,10,auto,61,42974,-0.6705828
nature,1551267952,10,auto,208,43106,-0.68763655
nature,1882947239,10,auto,41,41503,-0.6164035
nature,552965935,10,auto,93,41482,-0.7041645
nature,744570920,10,auto,1030,42888,0.3080311
nature,942936468,10,auto,49,42301,-0.63290024
nature,198080396,10,auto,217,42461,-0.6629188
nature,1573304740,10,auto,112,42564,-0.71249616
nature,63155138,10,auto,22,42412,-0.5356762
nature,941297817,10,auto,137,42159,-0.7069696
nature,2139705386,10,auto,942,42347,0.22180581
nature,1278326627,10,auto,21,42504,-0.56963545
nature,569000819,10,auto,945,42737,0.16075735
nature,2029378429,10,auto,963,42853,0.19462992
nature,155761771,10,auto,964,42435,0.17219651
nature,1811075101,10,auto,1000,42246,0.25976408
nature,145590158,10,auto,963,41679,0.22960086
nature,650611801,10,auto,944,42782,0.1708215
nature,39725411,10,auto,101,42431,-0.67757523
nature,572752181,10,auto,959,42305,0.22171648
nature,2028448817,10,auto,18,42276,-0.5199195
nature,2096008382,10,auto,962,42892,0.21728803
nature,1202882411,10,auto,1017,42427,0.2772099
nature,1886447798,10,auto,10,42443,-0.4642665
nature,345184044,10,auto,52,42652,-0.65509135
nature,1004661494,10,auto,19,42356,-0.46250126
nature,1455781249,10,auto,38,42520,-0.6379964
nature,267690120,10,auto,145,42297,-0.7034435
nature,887758509,10,auto,993,43329,0.26282027
nature,640097933,10,auto,182,42096,-0.69740605
nature,570637845,10,auto,115,40316,-0.7009517
nature,2107838045,10,auto,36,42692,-0.5084246
nature,2048185572,10,auto,26,42566,-0.5443987
nature,1580868522,10,auto,50,41791,-0.65167373
nature,536439614,10,auto,217,41796,-0.6753406
nature,1939823968,10,auto,128,41261,-0.7094739
nature,411388732,10,auto,14,41562,-0.45373076
nature,1714213222,10,auto,165,43676,-0.6819268
nature,1707506535,10,auto,17,42516,-0.4854493
nature,372885536,10,auto,18,41927,-0.54901224
nature,1799881087,10,auto,106,42473,-0.6947642
nature,1038299649,10,auto,71,42986,-0.69281435
nature,1316657061,10,auto,137,42546,-0.72676903
nature,1389744192,10,auto,113,42523,-0.7174616
nature,1460003555,10,auto,95,41852,-0.69446915
nature,41182851,10,auto,996,43642,0.20972025
nature,263572890,10,auto,961,42534,0.1953961
nature,1955308462,10,auto,76,42684,-0.6701035
nature,2107125377,10,auto,177,41843,-0.6962266
nature,1030017102,10,auto,993,42686,0.26726383
nature,1438101669,10,auto,964,41470,0.24644193
nature,1922923517,10,auto,974,41772,0.22301713
nature,267633759,10,auto,119,42299,-0.6879097
nature,421060560,10,auto,57,42207,-0.6707918
nature,1400902798,10,auto,986,42075,0.23399624
nature,1391972604,10,auto,33,42356,-0.61091584
nature,1039455910,10,auto,134,42305,-0.70309067
nature,1821117805,10,auto,13,42050,-0.2887695
nature,1567668788,10,auto,170,41921,-0.70227575
nature,355160062,10,auto,958,43013,0.25736478
nature,820618009,10,auto,60,42386,-0.67123157
nature,1012649077,10,auto,984,41664,0.23673907
nature,654141271,10,auto,64,40687,-0.6498943
nature,687079714,10,auto,227,43071,-0.6663031
nature,331654640,10,auto,160,42821,-0.6995146
nature,630710716,10,auto,132,42106,-0.69535
nature,445448594,10,auto,1019,42064,0.23679653
nature,1242350838,10,auto,985,42014,0.24796703
nature,1192363601,10,auto,152,42366,-0.69708043
nature,1840117773,10,auto,9,42910,-0.2744844
nature,910260946,10,auto,17,42770,-0.5341393
nature,321300101,10,auto,91,42285,-0.7043711
nature,1462346117,10,auto,959,42447,0.18658653
nature,1771478674,10,auto,47,42537,-0.66288096
nature,1555462866,10,auto,105,43237,-0.70183736
nature,1102124195,10,auto,15,41540,-0.52954984
nature,1962928475,10,auto,1047,43359,0.29204315
nature,1185146118,10,auto,23,41501,-0.5306892
nature,404887664,10,auto,987,41944,0.2333467
nature,1934135927,10,auto,1046,42909,0.30513388
nature,1381159359,10,auto,18,42160,-0.49697798
nature,676895180,10,auto,951,41696,0.20713319
nature,1637506974,10,auto,22,42716,-0.6369449
nature,59215953,10,auto,173,41911,-0.7044238
nature,293896388,10,auto,947,43282,0.16884586
nature,474887334,10,auto,89,42429,-0.6985348
nature,53348960,10,auto,998,42471,0.2830626
nature,944804993,10,auto,139,42730,-0.7080388
nature,1158694454,10,auto,977,41313,0.24787316
nature,1063137405,10,auto,195,42632,-0.6883267
nature,671224821,10,auto,93,42414,-0.68951756
nature,456469507,10,auto,1002,41782,0.279987
nature,415319416,10,auto,37,76244,-0.6945097
nature,778336475,10,auto,29,76967,-0.67111915
nature,871358440,10,auto,7,74384,-0.39118502
nature,289843286,10,auto,13,76684,-0.5151892
nature,1080126904,10,auto,10,75872,-0.40334427
nature,1958265131,10,auto,17,76440,-0.57749635
nature,1590716001,10,auto,28,77917,-0.6301849
nature,1002927151,10,auto,139,76163,-0.7507221
nature,23333778,10,auto,3,76685,-0.1217843
nature,693794476,10,auto,19,74977,-0.5942946
nature,1686500463,10,auto,50,77126,-0.71561533
nature,865361282,10,auto,92,77742,-0.7334521
nature,1760395907,10,auto,128,75926,-0.7384793
nature,1191973748,10,auto,85,76862,-0.7298035
nature,1669121006,10,auto,20,76737,-0.612805
nature,866294658,10,auto,14,76330,-0.52257836
nature,1537528025,10,auto,12,75222,-0.5031228
nature,1558396996,10,auto,26,76552,-0.6626022
nature,1832937541,10,auto,6,77215,-0.3658283
nature,1553331963,10,auto,12,76930,-0.4996359
nature,626540508,10,auto,15,76955,-0.5934825
nature,252605831,10,auto,57,75662,-0.72381145
nature,1871561767,10,auto,61,78447,-0.7343286
nature,1171084747,10,auto,30,77365,-0.6758042
nature,1874760770,10,auto,112,77828,-0.74177104
nature,1154122082,10,auto,13,78013,-0.5561958
nature,2136131430,10,auto,31,76802,-0.6453833
nature,965364732,10,auto,15,78906,-0.6040689
nature,1757025162,10,auto,10,77205,-0.50739306
nature,1727042082,10,auto,5,74641,-0.315952
nature,175325077,10,auto,16,77542,-0.5899706
nature,1339979806,10,auto,1365,76516,0.23097214
nature,1551267952,10,auto,40,77775,-0.69066054
nature,1882947239,10,auto,34,76401,-0.6621684
nature,552965935,10,auto,8,76657,-0.4965834
